Organisation;Adresse;PLZ;Ort;Telefon;Telefax;E-Mail;Internetadresse
Bundeswehr-Dienstleistungszentrum Husum;Industriestraße 15;25813;Husum;+49 4841 7765-0;;BwDLZHusum@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-husum
Bundeswehr-Dienstleistungszentrum Idar-Oberstein;Am Rilchenberg 61;55743;Idar-Oberstein;+49 6781-51 0;;BwDLZIdarOberstein@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-idar-oberstein
Bundeswehr-Dienstleistungszentrum Ingolstadt;Marlene-Dietrich-Straße 12;85053;Ingolstadt;+49 841 88660-0;;BwDLZIngolstadt@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-ingolstadt
Bundeswehr-Dienstleistungszentrum Kaufbeuren;Apfeltranger Straße 15;87600;Kaufbeuren;+49 8341 92-0;;BwDLZKaufbeuren@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-kaufbeuren
Bundeswehr-Dienstleistungszentrum Kiel;Warnemünder Straße 22;24106;Kiel;+49 431 384-0;;BwDLZKiel@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-kiel
Bundeswehr-Dienstleistungszentrum Koblenz;Ellingshohl 69 - 75;56076;Koblenz;+49 261 679992-0;;BwDLZKoblenz@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-koblenz
Bundeswehr-Dienstleistungszentrum Köln;Flughafenstraße 1;51147;Köln;+49 2203 908-0;;BwDLZKoeln@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-koeln
Bundeswehr-Dienstleistungszentrum Landsberg am Lech;Siegfried-Meister-Straße 10;86899;Landsberg am Lech;+49 8191 911-2075;+49 8191 911-2090;BwDLZLandsberg@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-landsberg-am-lech
Bundeswehr-Dienstleistungszentrum Leer;Osseweg 31;26789;Leer;+49 491 9195-0;;BwDLZLeer@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-leer
Bundeswehr-Dienstleistungszentrum Mayen;Holler Pfad 6;56727;Mayen;+49 2651 4960-0;;BwDLZMayen@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-mayen
Bundeswehr-Dienstleistungszentrum München;Dachauer Straße 128;80637;München;+49 89 1249-0;;BwDLZMuenchen@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-muenchen
Bundeswehr-Dienstleistungszentrum Munster;Emminger Weg 59-61;29633;Munster;+49 5192 12-0;;BwDLZMunster@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-munster
Bundeswehr-Dienstleistungszentrum Münster;Josefine-Mauser-Straße 51;48157;Münster;+49 251 133398-0;;BwDLZMuenster@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-muenster
Bundeswehr-Dienstleistungszentrum Oldenburg;Bremer Straße 69;26135;Odenburg;+49 441 929-0;;BwDLZOldenburg@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-oldenburg
Bundeswehr-Dienstleistungszentrum Plön;Stadtheide 10 - 11;24306;Plön;+49 4522-7444-0;+49 4522 7444-2100;BwDLZPloen@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/die-bundeswehr-dienstleistungszentren/bwdlz-ploen
Bundeswehr-Dienstleistungszentrum Rostock;Kopernikusstraße 1;18057;Rostock;+49 381 802-50;;BwDLZRostock@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-rostock
Bundeswehr-Dienstleistungszentrum Rotenburg (Wümme);Am Luhner Holze 39;27356;Rotenburg (Wümme);+49 4261 188-0;;BwDLZRotenburg@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-rotenburg-wuemme
Bundeswehr-Dienstleistungszentrum Stetten am kalten Markt;Lager Heuberg ;72510;Stetten am kalten Markt;+49 7573 504-0;;BwDLZStettena.k.M@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-stetten-am-kalten-markt
Bundeswehr-Dienstleistungszentrum Torgelow;Pasewalker Chaussee 3;17358;Torgelow;+49 3976 250-0;;BwDLZTorgelow@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-torgelow
Bundeswehr-Dienstleistungszentrum Ulm;Westerlinger Straße 13/2;89077;Ulm/Donau;+49 731 18996-0;;BwDLZUlm@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-ulm
Bundeswehr-Dienstleistungszentrum Veitshöchheim;Balthasar-Neumann-Kaserne ;97209;Veitshöchheim;+49 931 9707-0;+49 931 9707-4111;BwDLZVeitshoechheim@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-veitshoechheim
Bundeswehr-Dienstleistungszentrum Weißenfels;Zeitzer Straße 95;06667;Weißenfels;+49 3443 33-0;;BwDLZWeissenfels@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-weissenfels
Bundeswehr-Dienstleistungszentrum Wilhelmshaven;Rheinstraße 53;26382;Wilhelmshaven;+49 4421 4838-0;;BwDLZWilhelmshaven@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-wilhelmshaven
Bundeswehr-Dienstleistungszentrum Wunstorf;Am Dänenberg 2;31515;Wunstorf;+49 5031 405-0;+49 5031 405-2015;BwDLZWunstorf@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-wunstorf
Bundeswehr-Dienstleistungszentrum Zweibrücken;22-er-Straße 25;66482;Zweibrücken;+49 6332 5665-3;;BwDLZZweibruecken@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-zweibruecken
Bundeswehrdisziplinaranwalt beim Bundesverwaltungsgericht;Simsonplatz 1;04107;Leipzig;+49 341 124793-51;+49 341 124793-48;;
Bundeswehrfachschule Berlin;Kladower Damm 182;14086;Berlin;+49 30 3687-0;;BwFachSBerlin@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-berlin-87216
Bundeswehrfachschule Hamburg;Osdorfer Landstraße 365;22589;Hamburg;+49 40 86648-0;;BwFachSHamburg@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-hamburg-86934
Bundeswehrfachschule Hannover;Langenforther Straße 1;30657;Hannover;+49 511 903-4637;;BwFachSHannover@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-hannover-87212
Bundeswehrfachschule Karlsruhe;An der Trift 13-15;76149;Karlsruhe;+49 721 62680-451 oder -453;;BwFachSKarlsruhe@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-karlsruhe-87008
Bundeswehrfachschule Kassel;Elisabeth-Consbruch-Straße 2;34131;Kassel;+49 561 76682 3002;;BwFachSKassel@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-kassel-87162
Bundeswehrfachschule Koblenz;Kurfürstenstraße 63;56068;Koblenz;+49 261 914372-22;;BwFachSKoblenz@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-koblenz-87148
Bundeswehrfachschule Köln;Kardorfer Straße 1;50968;Köln;+49 221 937774-0;;BwFachSKoeln@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-koeln-87152
Bundeswehrfachschule München;Neuherbergstraße 11;80937;München;+49 89 992692-3480;;bwfachsmuenchen@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-muenchen-87012
Bundeswehrfachschule Naumburg;Kösener Straße 50;06618;Naumburg;+49 3443 33-0;;BwFachSNaumburg@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-naumburg-87172
Bundeswehrfachschule Würzburg;Oberdürrbacher Straße 2a;97209;Veitshöchheim;+49 931 9707-0;;BwFachSWuerzburg@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bundeswehrfachschule/bundeswehrfachschule-wuerzburg-87020
Bundeswehrkrankenhaus Berlin;Scharnhorststraße 13;10115;Berlin;+49 30 2841-0;+49 30 2841-1043;BwKrhsBerlin@bundeswehr.org;https://berlin.bwkrankenhaus.de/startseite.html
Bundeswehrkrankenhaus Ulm;Oberer Eselsberg 40;89081;Ulm;+49 731 1710-0;;BwKrhsUlm@bundeswehr.org;https://ulm.bwkrankenhaus.de/startseite/
Bundeswehrkrankenhaus Westerstede;Lange Straße 38;26655;Westerstede;+49 4488 50-0;;BwkrhsWesterstede@bundeswehr.org;https://westerstede.bwkrankenhaus.de/startseite.html
Bundeswehrkrankenhaus-Hamburg;Lesserstraße 180;22049;Hamburg;+49 40 6947-0;+49 40 6947-2930;BwkrhsHamburg@bundeswehr.org;https://hamburg.bwkrankenhaus.de/startseite.html
Bundeswehrverwaltungsstelle Belgien;Rue Lie 324;07010;SHAPE;+32 65 444969;+32 65 445149;BWVStBelgienLeitung@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehrverwaltungsstellen-im-ausland/bwvst-belgien
Bundeswehrverwaltungsstelle Frankreich;Route du Rhin 12;67400;Illkirch-Graffenstaden;+33 36932 2701;;BWVStFrankreichLeitung@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehrverwaltungsstellen-im-ausland/bwvst-frankreich
Bundeswehrverwaltungsstelle Großbritannien;Salamander Quay, Bankside, ;UB9 6NZ;Harefield/Middlesex;+44 1895 826380;+44 1895 826389;BWVStGB@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehrverwaltungsstellen-im-ausland/bwvst-grossbritannrad
Bundeswehrverwaltungsstelle in den USA und Kanada;11150 Sunrise Valley Drive ;20191;Reston;+1 703 390-3303;+1 703 390-3354;BWVStUSACA@bundeswehr.org;http://www.iud.bundeswehr.de/portal/a/iudbw/!ut/p/c4/04_https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehrverwaltungsstellen-im-ausland/bwvst-usa-kanada/
Bundeswehrverwaltungsstelle Italien;Viale Ulisse 12-14;95126;Catania;+39 095 7324 3001;+49 3299 12107 3006;BWVStItalien@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehrverwaltungsstellen-im-ausland/bwvst-italien
Bundeswehrverwaltungsstelle Niederlande;Rimburgerweg 30;06445;PA Brunssum;+31 45 5263691;+31 45 5263802;BWVStNiederlande@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehrverwaltungsstellen-im-ausland/bwvst-niederlande
Bundeswehrverwaltungsstelle Polen;Baltic Barracks ul. Lukasinskiego 33;71 - 215;Szczecin;+48 91 811 6740;+48 91 811 6745;BWVStPolen@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehrverwaltungsstellen-im-ausland/bwvst-polen
Bundeswehrzentralkrankenhaus Koblenz;Rübenacher Straße 170;56072;Koblenz;+49 261 281-0;;bwzkrhskoblenz@bundeswehr.org;https://koblenz.bwkrankenhaus.de/startseite/
Bundeszentralamt für Steuern;An der Küppe 1;53225;Bonn;+49 228 406-0;+49 228 406-2661;poststelle@bzst.bund.de;https://www.bzst.bund.de
Bundeszentrale für Kinder- und Jugendmedienschutz;Rochusstraße 8 - 10;53123;Bonn;+49 228 99 962103-10;+49 228 379014;info@BzKJ.bund.de;https://www.bzkj.de
Bundeszentrale für politische Bildung;Bundeskanzlerplatz 2;53113;Bonn;+49 22899 515-0;+49 22899 515-113;poststelle@bpb.de;https://www.bpb.de/
Büro der Gemeinsamen Wissenschaftskonferenz;Godesberger Allee 20;53175;Bonn;+49 228 99 5402-0;+49 228 99 5402-150;gwk@gwk-bonn.de;https://www.gwk-bonn.de/
Büro für Technikfolgenabschätzung beim Deutschen Bundestag;Neue Schönhauser Straße 10;10178;Berlin;+49 30 28491-0;;buero@tab-beim-bundestag.de;https://www.tab-beim-bundestag.de/index.php
BVVG Bodenverwertungs- und -verwaltungs GmbH;Schönhauser Allee 120;10437;Berlin;+49 30 4432-0;+49 30 4432-1215;kontakt@bvvg.de;https://www.bvvg.de
BwConsulting GmbH;Mülheimer Straße 17;53840;Troisdorf;+49 2241 3213-0;;info@bwconsulting.de;https://www.bwconsulting.de/
Conterganstiftung;Erna-Scheffler-Straße 3;51103;Köln;+49 221 3673-3673;+49 221 3673-3636;geschaeftsstelle@contergan.bund.de;https://www.contergan-infoportal.de/
Continentale Betriebskrankenkasse;Sengelmannstraße 120;22335;Hamburg;0800 6 262626;+49 40 526 777 1125;kundenservice@continentale-bkk.de;https://www.continentale-bkk.de
dbb beamtenbund und tarifunion;Friedrichstraße 169;10117;Berlin;+49 30 4081-40;+49 30 4081-4999;post@dbb.de;https://www.dbb.de/
DekaBank Deutsche Girozentrale AöR;Große Gallusstraße 14;60315;Frankfurt am Main;+49 69 7147-0;+49 69 7147-1376;konzerninfo@deka.de;https://www.deka.de/deka-gruppe
Der Paritätische Gesamtverband e. V.;Oranienburger Str. 13 - 14;10178;Berlin;+49 30 24636-0;+49 30 24636-110;info@paritaet.org;https://www.der-paritaetische.de/
Deutsch-Französische Brigade;Kinzigstraße 2;79379;Müllheim im Markgräferland;+49 7631 90-2100;;DF-Brigpresse@bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/10-panzerdivision/deutsch-franzoesische-brigade
Deutsch-Französische Hochschule;Kohlweg 7;66123;Saarbrücken;+49 681 93812-100;+49 681 93812-111;info@dfh-ufa.org;https://www.dfh-ufa.org/
Deutsche Abteilung der Grundschule René Char;Quartier St. Lazare ;83340;Le Luc en Provence;+33 4 9473 4795;;DeutscheSchuleLeLuc@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/auslandsschulen-der-bundeswehr/auslandsschulen-der-bundeswehr-frankreich-83684
Deutsche Abteilung der Internationalen AFNORTH Schule;Ferdinand-Bol-Straat 1;06445;EE Brunssum;+31 6 8293 1211;;DeutscheSchuleAFNORTH@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/auslandsschulen-der-bundeswehr/auslandsschulen-der-bundeswehr-brunssum-83668
Deutsche Abteilung der Internationalen SHAPE Schule;Rue de Ankara 702;07010;SHAPE;+32 6544 5704;;DeutscheSchuleSHAPE@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/auslandsschulen-der-bundeswehr/auslandsschulen-der-bundeswehr-shape-83690
Deutsche Akademie der Naturforscher Leopoldina;Jägerberg 1;06108;Halle/Saale;+49 345 47239-800;;presse@leopoldina.org;https://www.leopoldina.org/leopoldina-home/
Deutsche Akademie der Technikwissenschaften;Karolinenplatz 4;80333;München;+49 89 5203090;+49 89 520309900;info@acatech.de;https://www.acatech.de/
Deutsche Akademie Rom Villa Massimo;Largo di Villa Massimo 1 - 2;I-00161;Roma;+39 06 44259-31;+39 06 44259-355;info@villamassimo.de;https://www.villamassimo.de/de/
Deutsche Akkreditierungsstelle GmbH;Spittelmarkt 10;10117;Berlin;+49 30 670591-0;+49 30 670591-15;kontakt@dakks.de;https://www.dakks.de/
Deutsche Atlantische Gesellschaft e. V.;Dorotheenstraße 84;10117;Berlin;+49 30 20649-134;+49 30 20649-136;impressum@ata-dag.de;https://ata-dag.de/
Deutsche Bundesbank;Hegelstraße 65;55122;Mainz;+49 69 9566-0;;presse-information@bundesbank.de;https://www.bundesbank.de/de
Deutsche Bundesstiftung Umwelt;An der Bornau 2;49090;Osnabrück;+49 541 9633-0;+49 541 9633-190;info@dbu.de;https://www.dbu.de/
Deutsche Forschungsgemeinschaft e. V.;Kennedyallee 40;53175;Bonn;+49 228 885-1;+49 228 885-2777;postmaster@dfg.de;https://www.dfg.de/
Deutsche Gesellschaft für Ernährung e. V.;Godesberger Allee 136;53175;Bonn;+49 228 3776-600;+49 228 3776-800;webmaster@dge.de;https://www.dge.de
Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH;Friedrich-Ebert-Allee 32 + 36;53113;Bonn;+49 228 4460-0;+49 228 4460-1766;info@giz.de;https://www.giz.de/de/html/index.html
Deutsche Gesetzliche Unfallversicherung e. V.;Glinkastraße 40;10117;Berlin;+49 30 13001-0;+49 30 13001-9876;info@dguv.de;https://www.dguv.de
Deutsche Investitions- und Entwicklungsgesellschaft;Kämmergasse 22;50676;Köln;+49 221 4986-0;+49 221 4986-1290;info@deginvest.de;https://www.deginvest.de/
Deutsche Kinemathek - Museum für Film und Fernsehen;Mauerstraße 79;10117;Berlin;+49 30 300903-0;+49 30 300903-13;info@deutsche-kinemathek.de;https://www.deutsche-kinemathek.de/
Deutsche Nationalbibliothek;Adickesallee 1;60322;Frankfurt am Main;+49 69 1525-0;+49 69 1525-1010;postfach@dnb.de;https://www.dnb.de/DE/Home/home_node.html
Deutsche Post AG Niederlassung Renten Service;N.N. ;13497;Berlin;+49 221 5692-444;+49 221 5692-776;;https://www.deutschepost.de/de/r/rentenservice.html?cid=rso_www.rentenservice.de
Deutsche Rentenversicherung Bund;Ruhrstraße 2;10709;Berlin;+49 30 865-0;+49 30 865-27240;drv@drv-bund.de;https://www.deutsche-rentenversicherung.de/Bund/DE/Home/home_node.html
Deutsche Rentenversicherung Knappschaft-Bahn-See;Pieperstraße 14 - 28;44789;Bochum;+49 234 304-0;+49 234 304-66050;zentrale@kbs.de;https://www.kbs.de/DE/Home/node.html
Deutsche Schule Catania;Via Valdisavoia 3;95123;Catania;+49 160 9688 7723;;DeutscheSchuleCatania@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/auslandsschulen-der-bundeswehr/auslandsschulen-der-bundeswehr-italien-5479702
Deutsche Schule Sheppard;Stone Lake Drive 5105;76310;Wichita Falls;+1 9402323806;;DeutscheSchuleSheppard@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/auslandsschulen-der-bundeswehr/auslandsschulen-der-bundeswehr-amerika-83678
Deutsche Sportjugend;Otto-Fleck-Schneise 12;60528;Frankfurt am Main;+49 69 6700-0;;info@dsj.de;https://www.dsj.de/
Deutsche Stiftung Friedensforschung;Am Ledenhof 3 - 5;49074;Osnabrück;+49 541 60035-42;;info@bundesstiftung-friedensforschung.de;https://bundesstiftung-friedensforschung.de/
Deutsche Stiftung für Engagement und Ehrenamt;Woldegker Chaussee 35;17235;Neustrelitz;03981 4569-600;;hallo@d-s-e-e.de;https://www.deutsche-stiftung-engagement-und-ehrenamt.de/
Deutsche Stiftung für internationale rechtliche Zusammenarbeit e. V.;Ubierstraße 92;53173;Bonn;+49 228 9555-0;+49 228 9555-100;info@irz.de;https://www.irz.de/
Deutsche UNESCO-Kommission e. V.;Martin-Luther-Allee 42;53175;Bonn;+49 228 60497-144;;presse@unesco.de;https://www.unesco.de/
Deutsche Verbindungsstelle des Rüstungsbereichs USA/Kanada - German Liaison Office for Defense Materiel U.S.A./Canada;11150 Sunrise Valley Drive ;VA 20191-4332;Reston;+1 703 390-3301;+1 703 390-3360;DtVStRue@bundeswehr.org;https://www.bundeswehr.de/dtvstrue
Deutsche Verbindungsstelle Krankenversicherung - Ausland;Pennefeldsweg 2c;53177;Bonn;+49 228 9530-0;+49 228 9530-600;post@dvka.de;https://www.dvka.de/
Deutsche Welle;Kurt-Schumacher-Straße 3;53113;Bonn;+49 228 429-0;+49 228 429-3000;info@dw.com;https://www.dw.com
Deutsche Zentrale für Tourismus e. V.;Beethovenstraße 69;60325;Frankfurt am Main;+49 69 974640;+49 69 751903;info@germany.travel;https://www.germany.travel/de/ueber-uns/uebersicht.html
Deutscher Akademischer Austauschdienst e. V.;Kennedyallee 50;53175;Bonn;+49 228 882-0;+49 228 882-444;postmaster@daad.de;https://www.daad-akademie.de/de/
Deutscher Bundesjugendring;Mühlendamm 3;10178;Berlin;+49 30 400 40-400;;info@dbjr.de;https://www.dbjr.de/
Deutscher Bundestag;Platz der Republik 1;11011;Berlin;+49 30 227-0;+49 30 227-36878;mail@bundestag.de;https://www.bundestag.de
Deutscher Caritasverband e. V.;Karlstraße 40;79104;Freiburg;+49 761 200-0;;info@caritas.de;https://www.caritas.de/
Deutscher Ethikrat;Jägerstraße 22/23;10117;Berlin;+49 30 20370-242;+49 30 20370-252;kontakt@ethikrat.org;https://www.ethikrat.org/
Deutscher Frauenrat;Tempelhofer Ufer 11;10963;Berlin;+49 30 204569-0;;kontakt@frauenrat.de;https://www.frauenrat.de/
Deutscher Kulturrat e. V.;Chausseestraße 10;10115;Berlin;+49 30 226 05 28-0;+49 30 226 05 28-11;post@kulturrat.de;https://www.kulturrat.de/
Deutscher Landkreistag;Lennéstraße 11;10785;Berlin;+49 30 590097-309;+49 30 590097-400;info@landkreistag.de;https://www.landkreistag.de/der-verband
Deutscher Musikrat e. V.;Schumannstraße 17;10117;Berlin;+49 30 30881010;+49 30 30881011;generalsekretariat@musikrat.de;https://www.musikrat.de
Deutscher Musikrat gGmbH;Weberstraße 59;53113;Bonn;+49 228 2091-0;+49 228 2091-200;projektgesellschaft@musikrat.de;https://www.musikrat.de/
Deutscher Olympischer Sportbund;Otto-Fleck-Schneise 12;60528;Frankfurt am Main;+49 69 67000;+49 69 674906;office@dosb.de;https://www.dosb.de/
Deutscher Sparkassen- und Giroverband öK;Charlottenstraße 47;10117;Berlin;+49 30 20225-0;+49 30 20225-5255;info@dsgv.de;
Deutscher Städte- und Gemeindebund;Marienstraße 6;12207;Berlin;+49 30 77307-0;+49 30 77307-222;dstgb@dstgb.de;https://www.dstgb.de/
Deutscher Städtetag;Hausvogteiplatz 1;10117;Berlin;+49 30 37711-999;;post@staedtetag.de;https://www.staedtetag.de/
Deutscher Verband für Landschaftspflege e. V.;Promenade 9;91522;Ansbach;+49 981 1800 99-0;+49 981 1800 99-30;info@dvl.org;https://www.dvl.org/
Deutscher Verein für öffentliche und private Fürsorge e. V.;Michaelkirchstraße 17 - 18;10179;Berlin;+49 30 62980-0;+49 30 62980-150;info@deutscher-verein.de;https://www.deutscher-verein.de/
Deutscher Verkehrssicherheitsrat (DVR) e. V.;Jägerstraße 67-69;10117;Berlin;+49 30 - 2266771-0;+49 30 - 2266771-29;info@dvr.de;https://www.dvr.de/praevention/kampagnen/roll-ohne-risiko
Deutscher Wetterdienst;Frankfurter Straße 135;63067;Offenbach am Main;+49 69 8062-0;+49 69 8062-4484;info@dwd.de;https://www.dwd.de/DE/Home/home_node.html
Deutsches Archäologisches Institut;Podbielskiallee 69 - 71;14195;Berlin;+49 3018 7711-0;+49 3018 7711-190;info@dainst.de;https://www.dainst.org/
Deutsches Bergbau-Museum Bochum Leibniz-Forschungsmuseum für Georessourcen;Am Bergbaumuseum 28;44791;Bochum;+49 234 5877-0;;info@bergbaumuseum.de;https://www.bergbaumuseum.de
Deutsches Biomasseforschungszentrum gemeinnützige GmbH;Torgauer Straße 116;04347;Leipzig;+49 341 2434-112;;info@dbfz.de;https://www.dbfz.de/
Deutsches Diabetes-Zentrum;Auf m Hennekamp 65;40225;Düsseldorf;+49 211 3382-1;+49 211 3382-603;kontakt@ddz.de;https://ddz.de/
Deutsches Elektronen-Synchrotron DESY;Notkestraße 85;22607;Hamburg;+49 40 8998-0;+49 40 8998-3282;desypr@desy.de;https://www.desy.de/
Deutsches Evaluierungsinstitut der Entwicklungszusammenarbeit;Fritz-Schäffer-Straße 26;53113;Bonn;+49 228 336 907-0;;info@DEval.org;https://www.deval.org/de/
Deutsches Forschungsinstitut für öffentliche Verwaltung;Freiherr-vom-Stein-Straße 2;67346;Speyer;+49 6232 654-381;+49 6232 654-290;foev@foev-speyer.de;https://www.foev-speyer.de/
Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke;Arthur-Scheunert-Allee 114-116;14558;Nuthetal;+49 33200 88-0;;presse@dife.de;https://www.dife.de/
Deutsches Institut für Erwachsenenbildung - Leibniz-Zentrum für Lebenslanges Lernen e.V.;Heinemannstraße 12-14;53175;Bonn;+49 228 3294-0;+49 228 3294-399;info@die-bonn.de;https://www.die-bonn.de/
Deutsches Institut für Urbanistik;Zimmerstraße 13 - 15;10969;Berlin;+49 30 39001-0;+49 30 39001-100;difu@difu.de;https://difu.de/
Deutsches Institut für Wirtschaftsforschung e. V.;Anton-Wilhelm-Arno-Straße 58;10117;Berlin;+49 30 89789-0;+49 30 89789-200;webredaktion@diw.de;https://www.diw.de/deutsch
